stop_id,stop_name,lon,lat
U612Z1P,"Sídliště Řepy",14.298904,50.065144
U744Z2P,"Šumavská",14.443556,50.075291
U851Z2P,"Vinohradská vodárna",14.450126,50.075356
U540Z2P,"Perunova",14.454094,50.075386
U518Z2P,"Orionka",14.458950,50.075504
U118Z2P,"Flora",14.462435,50.077881
U515Z2P,"Olšanské hřbitovy",14.467348,50.078114
U921Z4P,"Želivského",14.471611,50.078331
U921Z12P,"Želivského",14.472616,50.079723
U1074Z1P,"Krejcárek",14.475099,50.095135
U676Z2P,"Střelničná",14.459195,50.125771
U314Z2P,"Kyselova",14.463921,50.126137
U78Z2P,"Ládví",14.470993,50.126503
U740Z2P,"Štěpničná",14.477662,50.128006
U651Z2P,"Sídliště Ďáblice",14.479397,50.132080
U482Z2P,"Náměstí Bratří Synků",14.441199,50.064121
U152Z2P,"Horky",14.445897,50.061672
U559Z2P,"Pod Jezerkou",14.450202,50.057793
U376Z2P,"Michelská",14.454101,50.055042
U550Z2P,"Plynárna Michle",14.465298,50.056503
U183Z2P,"Chodovská",14.469275,50.056847
U751Z2P,"Teplárna Michle",14.474991,50.052612
U697Z2P,"Spořilov",14.482008,50.050560
U697Z1P,"Spořilov",14.482206,50.050941
U751Z1P,"Teplárna Michle",14.474371,50.053028
U183Z1P,"Chodovská",14.468380,50.056896
U550Z1P,"Plynárna Michle",14.464609,50.056549
U376Z1P,"Michelská",14.453829,50.055065
U559Z1P,"Pod Jezerkou",14.449987,50.058399
U152Z1P,"Horky",14.446627,50.061451
U482Z1P,"Náměstí Bratří Synků",14.440574,50.064514
U72Z3P,"Lehovec",14.547380,50.106865
U652Z1P,"Sídliště Hloubětín",14.542891,50.106552
U135Z1P,"Hloubětín",14.536691,50.106178
U144Z1P,"Starý Hloubětín",14.529970,50.104649
U1053Z1P,"Vozovna Hloubětín",14.528401,50.107880
U499Z1P,"Nový Hloubětín",14.528187,50.109859
U75Z1P,"Kolbenova",14.515848,50.110622
U873Z1P,"Poštovská",14.508335,50.110622
U1052Z1P,"Špitálská",14.504627,50.111122
U474Z3P,"Nádraží Vysočany",14.499000,50.110325
U464Z1P,"Poliklinika Vysočany",14.494864,50.108974
U308Z1P,"Divadlo Gong",14.488599,50.106792
U12Z1P,"Balabenka",14.482805,50.104755
U952Z2P,"Těšnov",14.436631,50.091721
U983Z2P,"Štvanice",14.437012,50.095406
U100Z4P,"Vltavská",14.437513,50.099022
U68Z1P,"Čechův most",14.416890,50.094048
U361Z1P,"Malostranské náměstí",14.404328,50.087978
U138Z1P,"Pražské Jezulátko",14.404176,50.085659
U809Z1P,"Újezd",14.404444,50.081676
